SaleTransaction {uuid = 'F3B7DE17-B2F0-1F17-2B2D-5E947D8E6355', type = 'brazilian', size = 'L', price = '£4.50', offer = 'ga', discount = '', userId = '8, country = 'UK', city = London}
SaleTransaction {uuid = 'F3B7DE17-B2F0-1F17-2B2D-5E947D8E6355', type = 'brazilian', size = 'L', price = '£4.50', offer = 'ga', discount = '', userId = '8, country = 'UK', city = London}
SaleTransaction {uuid = 'F3B7DE17-B2F0-1F17-2B2D-5E947D8E6355', type = 'brazilian', size = 'L', price = '£4.50', offer = 'ga', discount = '', userId = '8, country = 'UK', city = London}
SaleTransaction {uuid = 'F3B7DE17-B2F0-1F17-2B2D-5E947D8E6355', type = 'brazilian', size = 'L', price = '£4.50', offer = 'ga', discount = '', userId = '8, country = 'UK', city = London}
SaleTransaction {uuid = 'F3B7DE17-B2F0-1F17-2B2D-5E947D8E6355', type = 'brazilian', size = 'L', price = '£4.50', offer = 'ga', discount = '', userId = '8, country = 'UK', city = London}
SaleTransaction {uuid = 'F3B7DE17-B2F0-1F17-2B2D-5E947D8E6355', type = 'brazilian', size = 'L', price = '£4.50', offer = 'ga', discount = '', userId = '8, country = 'UK', city = London}
SaleTransaction {uuid = '6CE2AF44-0CD3-25A6-9421-FCFB24016249', type = 'colombian', size = 'S', price = '£3.00', offer = 'sg', discount = '15%', userId = '12, country = 'UK', city = London}
SaleTransaction {uuid = 'A3D08F16-D32F-67F0-CB2F-E530390B85DC', type = 'colombian', size = 'L', price = '£4.50', offer = '', discount = '', userId = '49, country = 'UK', city = London}
SaleTransaction {uuid = 'FD9D075C-3BE5-D3E7-ED08-CE9DBB355D2D', type = 'espresso', size = 'L', price = '£4.50', offer = 'sg', discount = '', userId = '94, country = 'UK', city = London}
SaleTransaction {uuid = '18FD0825-4CEF-2BB1-978D-31F876ECECEC', type = 'blend', size = 'S', price = '£3.00', offer = 'h&l', discount = '', userId = '60, country = 'UK', city = London}
SaleTransaction {uuid = '24A8E052-A759-40A4-88A9-EBDFC6295AC1', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '9, country = 'UK', city = London}
SaleTransaction {uuid = '2F7E8399-237C-785E-C4E1-A7923EA99A14', type = 'brazilian', size = 'S', price = '£3.00', offer = '', discount = '25%', userId = '10, country = 'UK', city = London}
SaleTransaction {uuid = 'B8A48D45-AA58-7B34-F8CD-6F03D92C59AE', type = 'colombian', size = 'M', price = '£3.75', offer = '', discount = '', userId = '10, country = 'UK', city = London}
SaleTransaction {uuid = '03678043-061D-C397-5920-7A4FC468AD08', type = 'blend', size = 'XL', price = '£5.00', offer = 'h&l', discount = '', userId = '1, country = 'UK', city = London}
SaleTransaction {uuid = '5E18FDB7-759E-BFF5-B182-E26ADB24307B', type = 'colombian', size = 'S', price = '£3.00', offer = '', discount = '15%', userId = '54, country = 'UK', city = London}
SaleTransaction {uuid = 'D690516C-C904-0055-7D1B-029D6EED37CE', type = 'colombian', size = 'M', price = '£3.75', offer = '', discount = '', userId = '23, country = 'UK', city = London}
SaleTransaction {uuid = '4D1A2C4A-7F96-1534-AFCA-7FBE3F558053', type = 'brazilian', size = 'S', price = '£3.00', offer = 'h&l', discount = '', userId = '41, country = 'UK', city = London}
SaleTransaction {uuid = '4B09D963-4BB8-A5E6-37F9-FADA763B3290', type = 'colombian', size = 'L', price = '£4.50', offer = 'gft', discount = '', userId = '46, country = 'UK', city = London}
SaleTransaction {uuid = '4BC96420-A5DB-9C22-849C-438DECADA4BB', type = 'colombian', size = 'S', price = '£3.00', offer = 'h&l', discount = '', userId = '80, country = 'UK', city = London}
SaleTransaction {uuid = 'D660C815-7756-8642-D700-8AA57FC0EEC8', type = 'espresso', size = 'M', price = '£3.75', offer = '', discount = '', userId = '71, country = 'UK', city = London}
SaleTransaction {uuid = '3E655572-A8FB-DC0C-6DEA-6D0CF7FFE9E5', type = 'blend', size = 'M', price = '£3.75', offer = '', discount = '', userId = '20, country = 'UK', city = London}
SaleTransaction {uuid = '5F2C2006-5DBF-82FA-B65A-6878E277402D', type = 'colombian', size = 'M', price = '£3.75', offer = 'ga', discount = '20%', userId = '88, country = 'UK', city = London}
SaleTransaction {uuid = 'E1157A61-679B-0BCE-4DC8-F363AC433F54', type = 'blend', size = 'M', price = '£3.75', offer = 'h&l', discount = '20%', userId = '22, country = 'UK', city = London}
SaleTransaction {uuid = 'EF314E0C-9041-0AD0-A9C0-E1A4B2DD0C59', type = 'colombian', size = 'M', price = '£3.75', offer = 'sg', discount = '', userId = '23, country = 'UK', city = London}
SaleTransaction {uuid = 'D1DB8756-D047-3918-920E-ECBCB73FEF71', type = 'blend', size = 'S', price = '£3.00', offer = '', discount = '15%', userId = '87, country = 'UK', city = London}
SaleTransaction {uuid = '518F2A6D-DAF6-53B1-98C1-C24233532868', type = 'colombian', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '99, country = 'UK', city = London}
SaleTransaction {uuid = '97DE2656-888B-DB6F-91DC-BF4C281A40B7', type = 'blend', size = 'S', price = '£3.00', offer = 'ga', discount = '30%', userId = '75, country = 'UK', city = London}
SaleTransaction {uuid = 'F7E7C550-C65B-CEAE-99C5-BEF9735D19F8', type = 'espresso', size = 'XL', price = '£5.00', offer = 'h&l', discount = '', userId = '69, country = 'UK', city = London}
SaleTransaction {uuid = '63912E68-4A94-290A-3678-7313A648657E', type = 'blend', size = 'L', price = '£4.50', offer = '', discount = '', userId = '75, country = 'UK', city = London}
SaleTransaction {uuid = '362EB171-C89D-B86C-3E43-764023C32F99', type = 'blend', size = 'S', price = '£3.00', offer = '', discount = '', userId = '18, country = 'UK', city = London}
SaleTransaction {uuid = '945F7328-2256-68CA-406B-08DB2B3B18AE', type = 'espresso', size = 'L', price = '£4.50', offer = '', discount = '', userId = '28, country = 'UK', city = London}
SaleTransaction {uuid = '0FCF5370-4F0F-8E01-4DA7-BAE26AF84F4E', type = 'colombian', size = 'L', price = '£4.50', offer = '', discount = '', userId = '58, country = 'UK', city = London}
SaleTransaction {uuid = '06343C30-FB39-A7D3-096E-F5D61B31D0AA', type = 'colombian', size = 'M', price = '£3.75', offer = '', discount = '', userId = '83, country = 'UK', city = London}
SaleTransaction {uuid = '5E582826-0DEB-D699-3FBC-FC29C9243EE2', type = 'colombian', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '41, country = 'UK', city = London}
SaleTransaction {uuid = '5E2DC3E4-E288-5815-804F-4331D726A021', type = 'blend', size = 'XL', price = '£5.00', offer = 'h&l', discount = '', userId = '72, country = 'UK', city = London}
SaleTransaction {uuid = '2E905A79-2293-0D06-0C8D-1692483F9702', type = 'espresso', size = 'L', price = '£4.50', offer = 'ga', discount = '', userId = '5, country = 'UK', city = London}
SaleTransaction {uuid = '10930948-FDFF-6BDD-8BEB-8B20284F5681', type = 'brazilian', size = 'M', price = '£3.75', offer = 'gft', discount = '30%', userId = '39, country = 'UK', city = London}
SaleTransaction {uuid = 'AD5A422A-D4BA-F5B3-49C1-EBC3B1456DF1', type = 'brazilian', size = 'M', price = '£3.75', offer = 'gft', discount = '', userId = '44, country = 'UK', city = London}
SaleTransaction {uuid = '6CE2AF44-0CD3-25A6-9421-FCFB24016249', type = 'colombian', size = 'S', price = '£3.00', offer = 'sg', discount = '15%', userId = '12, country = 'UK', city = London}
SaleTransaction {uuid = 'A3D08F16-D32F-67F0-CB2F-E530390B85DC', type = 'colombian', size = 'L', price = '£4.50', offer = '', discount = '', userId = '49, country = 'UK', city = London}
SaleTransaction {uuid = 'FD9D075C-3BE5-D3E7-ED08-CE9DBB355D2D', type = 'espresso', size = 'L', price = '£4.50', offer = 'sg', discount = '', userId = '94, country = 'UK', city = London}
SaleTransaction {uuid = '18FD0825-4CEF-2BB1-978D-31F876ECECEC', type = 'blend', size = 'S', price = '£3.00', offer = 'h&l', discount = '', userId = '60, country = 'UK', city = London}
SaleTransaction {uuid = '24A8E052-A759-40A4-88A9-EBDFC6295AC1', type = 'blend', size = 'XL', price = '£5.00', offer = '', discount = '', userId = '9, country = 'UK', city = London}
SaleTransaction {uuid = '2F7E8399-237C-785E-C4E1-A7923EA99A14', type = 'brazilian', size = 'S', price = '£3.00', offer = '', discount = '25%', userId = '10, country = 'UK', city = London}
SaleTransaction {uuid = 'B8A48D45-AA58-7B34-F8CD-6F03D92C59AE', type = 'colombian', size = 'M', price = '£3.75', offer = '', discount = '', userId = '10, country = 'UK', city = London}
SaleTransaction {uuid = '03678043-061D-C397-5920-7A4FC468AD08', type = 'blend', size = 'XL', price = '£5.00', offer = 'h&l', discount = '', userId = '1, country = 'UK', city = London}
SaleTransaction {uuid = '5E18FDB7-759E-BFF5-B182-E26ADB24307B', type = 'colombian', size = 'S', price = '£3.00', offer = '', discount = '15%', userId = '54, country = 'UK', city = London}
SaleTransaction {uuid = 'D690516C-C904-0055-7D1B-029D6EED37CE', type = 'colombian', size = 'M', price = '£3.75', offer = '', discount = '', userId = '23, country = 'UK', city = London}
SaleTransaction {uuid = '4D1A2C4A-7F96-1534-AFCA-7FBE3F558053', type = 'brazilian', size = 'S', price = '£3.00', offer = 'h&l', discount = '', userId = '41, country = 'UK', city = London}
